證券代碼,年月日,流通在外股數(百萬股),董監持股數
2228 劍麟,9/20/2019,75,"19,621"
2230 泰茂,9/20/2019,39,"8,722"
2231 為升,9/20/2019,122,"29,316"
2233 宇隆,9/20/2019,60,"5,984"
2235 謚源,9/20/2019,35,"12,128"
2236 百達-KY,9/20/2019,44,"11,440"
2239 英利-KY,9/20/2019,118,"46,100"
2243 宏旭-KY,9/20/2019,43,"12,225"
2301 光寶科,9/20/2019,"2,350","139,160"
2302 麗正,9/20/2019,166,"44,288"
2303 聯電,9/20/2019,"11,724","779,214"
2305 全友,9/20/2019,205,"64,402"
2308 台達電,9/20/2019,"2,597","190,941"
2312 金寶,9/20/2019,"1,452","86,194"
2313 華通,9/20/2019,"1,191","116,014"
2314 台揚,9/20/2019,228,"64,048"
2316 楠梓電,9/20/2019,225,"31,627"
2317 鴻海,9/20/2019,"13,862","1,346,267"
2321 東訊,9/20/2019,148,"46,567"
2323 中環,9/20/2019,"1,726","161,733"
2324 仁寶,9/20/2019,"4,407","237,082"
2327 國巨,9/20/2019,427,"38,204"
2328 廣宇,9/20/2019,518,"23,200"
2329 華泰,9/20/2019,552,"18,563"
2330 台積電,9/20/2019,"25,930","1,709,755"
2331 精英,9/20/2019,557,"70,067"
2332 友訊,9/20/2019,651,"50,564"
2337 旺宏,9/20/2019,"1,840","49,568"
2338 光罩,9/20/2019,252,"14,980"
2340 光磊,9/20/2019,445,"30,415"
2342 茂矽,9/20/2019,156,"24,453"
2344 華邦電,9/20/2019,"3,980","959,955"
2345 智邦,9/20/2019,557,"9,915"
2347 聯強,9/20/2019,"1,667","305,435"
2348 海悅,9/20/2019,85,"15,200"
2349 錸德,9/20/2019,"1,284","32,091"
2351 順德,9/20/2019,182,"22,501"
2352 佳世達,9/20/2019,"1,966","345,869"
2353 宏碁,9/20/2019,"3,074","127,935"
2354 鴻準,9/20/2019,"1,414","85,056"
2355 敬鵬,9/20/2019,397,"49,125"
2356 英業達,9/20/2019,"3,587","381,093"
2357 華碩,9/20/2019,742,"42,112"
2358 廷鑫,9/20/2019,94,"11,803"
2359 所羅門,9/20/2019,171,"31,264"
2360 致茂,9/20/2019,419,"21,208"
2362 藍天,9/20/2019,669,"63,458"
2363 矽統,9/20/2019,554,"124,767"
2364 倫飛,9/20/2019,198,"37,172"
2365 昆盈,9/20/2019,234,"18,300"
2367 燿華,9/20/2019,619,"39,908"
2368 金像電,9/20/2019,546,"142,148"
2369 菱生,9/20/2019,380,"17,370"
2371 大同,9/20/2019,"2,339","160,802"
2373 震旦行,9/20/2019,236,"125,460"
2374 佳能,9/20/2019,282,"16,916"
2375 智寶,9/20/2019,91,"11,931"
2376 技嘉,9/20/2019,635,"68,836"
2377 微星,9/20/2019,844,"118,418"
