證券代碼,年月日,流通在外股數(百萬股),董監持股數
6101 寬魚國際,9/20/2019,116,"24,653"
6103 合邦,9/20/2019,57,"35,345"
6104 創惟,9/20/2019,90,"8,151"
6108 競國,9/20/2019,159,"21,512"
6109 亞元,9/20/2019,57,"8,345"
6111 大宇資,9/20/2019,49,"10,062"
6112 聚碩,9/20/2019,188,"9,119"
6113 亞矽,9/20/2019,50,"14,237"
6114 久威,9/20/2019,43,"23,669"
6115 鎰勝,9/20/2019,187,"23,837"
6116 彩晶,9/20/2019,"3,133","272,252"
6117 迎廣,9/20/2019,88,"34,214"
6118 建達,9/20/2019,90,"28,767"
6120 達運,9/20/2019,665,"190,671"
6121 新普,9/20/2019,184,"10,156"
6122 擎邦,9/20/2019,68,"10,198"
6123 上奇,9/20/2019,59,"7,181"
6124 業強,9/20/2019,182,"40,065"
6125 廣運,9/20/2019,249,"54,319"
6126 信音,9/20/2019,136,"23,643"
6127 九豪,9/20/2019,108,"12,194"
6128 上福,9/20/2019,127,"36,807"
6129 普誠,9/20/2019,180,"18,453"
6130 星寶國際,9/20/2019,27,"11,501"
6131 悠克,9/20/2019,101,11
6133 金橋,9/20/2019,117,"3,968"
6134 萬旭,9/20/2019,94,"44,185"
6136 富爾特,9/20/2019,115,"14,337"
6138 茂達,9/20/2019,73,"6,537"
6139 亞翔,9/20/2019,225,"50,697"
6140 訊達,9/20/2019,38,"10,864"
6141 柏承,9/20/2019,129,"21,414"
6142 友勁,9/20/2019,268,"29,025"
6143 振曜,9/20/2019,83,"16,326"
6144 得利影,9/20/2019,73,"38,036"
6146 耕興,9/20/2019,92,"26,349"
6147 頎邦,9/20/2019,654,"16,428"
6148 驊宏資,9/20/2019,47,"5,611"
6150 撼訊,9/20/2019,33,"3,958"
6151 晉倫,9/20/2019,55,"9,043"
6152 百一,9/20/2019,167,"10,311"
6153 嘉聯益,9/20/2019,500,"18,345"
6154 順發,9/20/2019,80,"15,142"
6155 鈞寶,9/20/2019,86,"20,527"
6156 松上,9/20/2019,81,"9,804"
6158 禾昌,9/20/2019,105,"8,395"
6160 欣技,9/20/2019,68,"15,794"
6161 捷波,9/20/2019,83,"19,100"
6163 華電網,9/20/2019,122,"10,771"
6164 華興,9/20/2019,100,"10,170"
6165 捷泰,9/20/2019,49,38
6166 凌華,9/20/2019,217,"37,282"
6167 久正,9/20/2019,162,"26,187"
6168 宏齊,9/20/2019,206,"32,669"
6169 昱泉,9/20/2019,37,"9,423"
6170 統振,9/20/2019,89,"14,137"
6171 亞銳士,9/20/2019,75,"34,320"
6172 互億,9/20/2019,30,"6,516"
6173 信昌電,9/20/2019,172,"76,558"
6174 安碁,9/20/2019,50,"14,794"
6175 立敦,9/20/2019,136,"45,908"
6176 瑞儀,9/20/2019,465,"18,788"
6177 達麗,9/20/2019,256,"19,958"
6179 亞通,9/20/2019,74,"11,356"
6180 橘子,9/20/2019,175,"36,879"
6182 合晶,9/20/2019,510,"23,293"
6183 關貿,9/20/2019,150,"73,448"
6184 大豐電,9/20/2019,158,"18,466"
6185 幃翔,9/20/2019,149,"17,070"
6186 新潤,9/20/2019,100,"29,607"
6187 萬潤,9/20/2019,83,"19,468"
6188 廣明,9/20/2019,278,"84,214"
6189 豐藝,9/20/2019,179,"18,007"
6190 萬泰科,9/20/2019,140,"12,876"
6191 精成科,9/20/2019,515,"211,206"
6192 巨路,9/20/2019,106,"9,760"
6194 育富,9/20/2019,78,"13,653"
6195 詩肯,9/20/2019,46,"15,444"
6196 帆宣,9/20/2019,186,"101,122"
6197 佳必琪,9/20/2019,122,"28,715"
6198 凌泰,9/20/2019,20,"2,961"
6199 天品,9/20/2019,61,"37,936"
6201 亞弘電,9/20/2019,89,"31,498"
6202 盛群,9/20/2019,226,"19,818"
6203 海韻電,9/20/2019,79,"27,605"
6204 艾華,9/20/2019,36,"11,729"
6205 詮欣,9/20/2019,71,"9,485"
6206 飛捷,9/20/2019,143,"27,604"
6207 雷科,9/20/2019,83,"8,660"
6208 日揚,9/20/2019,98,"18,204"
6209 今國光,9/20/2019,163,"27,312"
6210 慶生,9/20/2019,35,"6,935"
6212 理銘,9/20/2019,102,"10,125"
6213 聯茂,9/20/2019,302,"33,217"
6214 精誠,9/20/2019,269,"24,988"
6215 和椿,9/20/2019,82,"15,877"
6216 居易,9/20/2019,84,"17,145"
6217 中探針,9/20/2019,64,"8,655"
6218 豪勉,9/20/2019,64,"7,285"
6219 富旺,9/20/2019,154,"47,695"
6220 岳豐,9/20/2019,124,"16,956"
6221 晉泰,9/20/2019,39,"18,215"
6222 上揚,9/20/2019,48,"20,719"
6223 旺矽,9/20/2019,79,"9,557"
6224 聚鼎,9/20/2019,80,"21,429"
6225 天瀚,9/20/2019,119,"31,905"
6226 光鼎,9/20/2019,114,"13,583"
6227 茂綸,9/20/2019,76,"45,913"
6228 全譜,9/20/2019,28,"12,962"
6229 研通,9/20/2019,36,"8,939"
6230 超眾,9/20/2019,86,"50,198"
6231 系微,9/20/2019,38,"9,644"
6233 旺玖,9/20/2019,82,"8,586"
6234 高僑,9/20/2019,92,"16,153"
6235 華孚,9/20/2019,168,"45,318"
6236 康呈,9/20/2019,31,"24,600"
6237 驊訊,9/20/2019,79,"9,817"
6238 勝麗,9/20/2019,57,"12,793"
6239 力成,9/20/2019,779,"38,077"
6240 松崗,9/20/2019,23,"8,240"
6241 易通展,9/20/2019,23,"11,630"
6242 立康,9/20/2019,22,"4,151"
6243 迅杰,9/20/2019,74,"5,408"
6244 茂迪,9/20/2019,540,"26,365"
6245 立端,9/20/2019,118,"16,362"
6246 臺龍,9/20/2019,29,"5,033"
6247 淇譽電,9/20/2019,60,"22,597"
6248 沛波,9/20/2019,30,"13,677"
6251 定穎,9/20/2019,281,"16,413"
6257 矽格,9/20/2019,395,"19,848"
6259 百徽,9/20/2019,111,"21,213"
6261 久元,9/20/2019,128,"15,074"
6263 普萊德,9/20/2019,62,"24,098"
6264 富裔,9/20/2019,116,"41,408"
6265 方土昶,9/20/2019,118,"22,352"
6266 泰詠,9/20/2019,98,"15,993"
6269 台郡,9/20/2019,329,"24,024"
6270 倍微,9/20/2019,72,"14,530"
6271 同欣電,9/20/2019,165,"28,426"
6274 台燿,9/20/2019,255,"12,324"
6275 元山,9/20/2019,69,"8,716"
6276 安鈦克,9/20/2019,33,"7,593"
6277 宏正,9/20/2019,119,"13,963"
6278 台表科,9/20/2019,292,"25,293"
6279 胡連,9/20/2019,97,"18,670"
6281 全國電,9/20/2019,99,"22,731"
6282 康舒,9/20/2019,516,"121,998"
6283 淳安,9/20/2019,148,"65,546"
6284 佳邦,9/20/2019,147,"62,167"
6285 啟碁,9/20/2019,390,"97,761"
6287 元隆,9/20/2019,438,"58,276"
6288 聯嘉,9/20/2019,171,"44,931"
6289 華上,9/20/2019,269,"23,446"
6290 良維,9/20/2019,143,"12,175"
6291 沛亨,9/20/2019,27,"13,081"
6292 迅德,9/20/2019,46,"16,651"
6294 智基,9/20/2019,23,"8,088"
6404 通訊-KY,9/20/2019,37,"8,465"
6405 悅城,9/20/2019,65,"8,954"
6409 旭隼,9/20/2019,83,"15,093"
6411 晶焱,9/20/2019,79,"9,594"
6412 群電,9/20/2019,386,"194,884"
6414 樺漢,9/20/2019,83,"29,865"
6415 矽力-KY,9/20/2019,90,"11,037"
6416 瑞祺電通,9/20/2019,68,"20,688"
6417 韋僑,9/20/2019,35,"10,214"
6418 詠昇,9/20/2019,34,"7,680"
6419 京晨科,9/20/2019,27,"8,671"
6425 易發,9/20/2019,42,"5,790"
6426 統新,9/20/2019,33,"5,686"
6431 光麗-KY,9/20/2019,45,"18,989"
6432 今展科,9/20/2019,22,"5,368"
6435 大中,9/20/2019,33,"15,079"
6438 迅得,9/20/2019,57,"5,423"
6441 廣錠,9/20/2019,30,"18,526"
6442 光聖,9/20/2019,69,"9,482"
6443 元晶,9/20/2019,379,"34,861"
6446 藥華藥,9/20/2019,219,"40,043"
6449 鈺邦,9/20/2019,84,"20,510"
6451 訊芯-KY,9/20/2019,105,"63,965"
6452 康友-KY,9/20/2019,78,"2,037"
6456 GIS-KY,9/20/2019,339,"79,855"
6457 紘康,9/20/2019,29,"4,140"
6461 益得,9/20/2019,80,"35,517"
6462 神盾,9/20/2019,71,"6,367"
6464 台數科,9/20/2019,122,"15,456"
6465 威潤,9/20/2019,32,"6,281"
6469 大樹,9/20/2019,41,"11,978"
6470 宇智,9/20/2019,32,"4,588"
6472 保瑞,9/20/2019,38,"11,888"
6477 安集,9/20/2019,94,"21,193"
6482 弘煜科,9/20/2019,17,"9,340"
6485 點序,9/20/2019,39,"5,279"
6486 互動,9/20/2019,36,"17,484"
6488 環球晶,9/20/2019,437,"224,242"
6492 生華科,9/20/2019,74,"9,086"
6494 九齊,9/20/2019,31,"2,514"
6496 科懋,9/20/2019,46,"18,033"
6497 亞獅康-KY　,9/20/2019,160,"16,806"
6499 益安,9/20/2019,66,"41,009"
6504 南六,9/20/2019,72,"14,753"
6505 台塑化,9/20/2019,"9,525","7,222,723"
6506 雙邦,9/20/2019,82,"17,240"
6508 惠光,9/20/2019,84,"25,827"
6509 聚和,9/20/2019,176,"8,068"
6510 精測,9/20/2019,32,"12,522"
6512 啟發電,9/20/2019,25,"3,620"
6514 芮特-KY,9/20/2019,30,"17,882"
6516 勤崴國際,9/20/2019,35,"11,391"
6523 達爾膚,9/20/2019,45,"27,825"
6525 捷敏-KY,9/20/2019,129,"66,466"
6530 創威,9/20/2019,33,"7,432"
6531 愛普,9/20/2019,73,"17,716"
6532 瑞耘,9/20/2019,31,"4,056"
6533 晶心科,9/20/2019,42,"9,964"
6535 順藥,9/20/2019,117,"37,422"
6538 倉和,9/20/2019,30,"4,750"
6541 泰福-KY,9/20/2019,244,"106,189"
6542 隆中,9/20/2019,42,"12,169"
6547 高端疫苗,9/20/2019,156,"55,809"
6548 長科*,9/20/2019,364,"20,715"
6552 易華電,9/20/2019,100,"54,808"
6556 勝品,9/20/2019,28,"3,587"
6558 興能高,9/20/2019,87,"20,779"
6560 欣普羅,9/20/2019,17,"3,544"
6561 是方,9/20/2019,69,"39,535"
6568 宏觀,9/20/2019,25,"2,937"
6569 醫揚,9/20/2019,22,"11,153"
6570 維田,9/20/2019,27,"4,365"
6573 虹揚-KY,9/20/2019,67,605
6574 霈方,9/20/2019,21,"9,825"
6576 逸達,9/20/2019,100,"29,686"
6577 勁豐,9/20/2019,38,"25,328"
6578 達邦蛋白,9/20/2019,29,"6,584"
6579 研揚,9/20/2019,148,"89,969"
6581 鋼聯,9/20/2019,111,"76,373"
6582 申豐,9/20/2019,104,"53,719"
6589 台康生技,9/20/2019,169,"52,851"
6590 普鴻,9/20/2019,15,"5,904"
6591 動力-KY,9/20/2019,26,"6,621"
6593 台灣銘板,9/20/2019,19,"7,489"
6594 展匯科,9/20/2019,20,"11,171"
6596 寬宏藝術,9/20/2019,25,"6,812"
6603 富強鑫,9/20/2019,147,"30,150"
6605 帝寶,9/20/2019,165,"36,467"
6609 瀧澤科,9/20/2019,72,"32,814"
6612 奈米醫材,9/20/2019,33,"6,082"
6613 朋億,9/20/2019,33,"21,098"
6615 慧智,9/20/2019,21,"2,937"
6616 特昇-KY,9/20/2019,23,"13,834"
6624 萬年清,9/20/2019,18,"4,621"
6625 必應,9/20/2019,37,"7,684"
6629 泰金-KY,9/20/2019,33,488
6640 均華,9/20/2019,28,"16,719"
6641 基士德-KY,9/20/2019,34,"9,918"
6643 M31,9/20/2019,31,"6,965"
6649 台生材,9/20/2019,33,"5,667"
6654 天正國際,9/20/2019,33,"19,070"
6655 科定,9/20/2019,75,"15,812"
6662 樂斯科,9/20/2019,25,"5,830"
6664 群翊,9/20/2019,55,"11,141"
6666 羅麗芬-KY,9/20/2019,47,"20,784"
6667 信紘科,9/20/2019,34,"6,491"
6668 中揚光,9/20/2019,68,"24,601"
6669 緯穎,9/20/2019,174,"82,782"
6670 復盛應用,9/20/2019,131,"10,247"
6671 三能-KY,9/20/2019,60,356
6672 騰輝電子-KY,9/20/2019,70,"15,167"
6674 鋐寶科技,9/20/2019,67,"32,635"
6679 鈺太,9/20/2019,41,"4,903"
6680 鑫創電子,9/20/2019,17,"3,625"
6683 雍智科技,9/20/2019,27,"4,750"
6803 崑鼎,9/20/2019,67,"39,517"
7402 邑錡,9/20/2019,22,"6,288"
8011 台通,9/20/2019,118,"29,036"
8016 矽創,9/20/2019,120,"7,578"
8021 尖點,9/20/2019,142,"15,674"
8024 佑華,9/20/2019,45,"8,253"
8027 鈦昇,9/20/2019,79,"7,111"
8028 昇陽半導體,9/20/2019,132,"11,063"
8032 光菱,9/20/2019,51,"32,928"
8033 雷虎,9/20/2019,112,"5,705"
8034 榮群,9/20/2019,62,"6,658"
8038 長園科,9/20/2019,60,"6,232"
8039 台虹,9/20/2019,209,"21,926"
8040 九暘,9/20/2019,82,"7,643"
8042 金山電,9/20/2019,122,"14,210"
8043 蜜望實,9/20/2019,79,"12,470"
8044 網家,9/20/2019,117,"20,501"
8046 南電,9/20/2019,646,"433,438"
8047 星雲,9/20/2019,41,"15,990"
8048 德勝,9/20/2019,53,"7,558"
8049 晶采,9/20/2019,118,"11,621"
8050 廣積,9/20/2019,176,"59,373"
8054 安國,9/20/2019,75,"2,782"
8059 凱碩,9/20/2019,86,"27,459"
8064 東捷,9/20/2019,164,"25,709"
8066 來思達,9/20/2019,30,"6,445"
8067 志旭,9/20/2019,30,"13,731"
8068 全達,9/20/2019,68,"14,410"
8069 元太,9/20/2019,"1,140","133,573"
8070 長華,9/20/2019,63,"24,236"
8071 能率網通,9/20/2019,51,"7,258"
8072 陞泰,9/20/2019,80,"31,337"
8074 鉅橡,9/20/2019,86,"10,407"
8076 伍豐,9/20/2019,259,"26,210"
8077 洛碁,9/20/2019,109,"68,560"
8080 奧斯特,9/20/2019,83,"7,471"
8081 致新,9/20/2019,86,"8,960"
8083 瑞穎,9/20/2019,35,"6,391"
8084 巨虹,9/20/2019,67,"18,719"
8085 福華,9/20/2019,157,"18,956"
8086 宏捷科,9/20/2019,144,"8,866"
8087 華鎂鑫,9/20/2019,29,"9,918"
8088 品安,9/20/2019,60,"16,364"
8091 翔名,9/20/2019,44,"4,184"
8092 建暐,9/20/2019,38,"11,163"
8093 保銳,9/20/2019,64,"16,079"
8096 擎亞,9/20/2019,139,"29,434"
8097 常珵,9/20/2019,26,"3,562"
8099 大世科,9/20/2019,70,"37,822"
8101 華冠,9/20/2019,208,"94,852"
8103 瀚荃,9/20/2019,81,"8,081"
8104 錸寶,9/20/2019,67,"27,717"
8105 凌巨,9/20/2019,441,"152,982"
8107 大億金茂,9/20/2019,75,"12,720"
8109 博大,9/20/2019,72,"17,866"
8110 華東,9/20/2019,506,"169,473"
8111 立碁,9/20/2019,114,"18,596"
8112 至上,9/20/2019,378,"20,879"
8114 振樺電,9/20/2019,74,"7,104"
8121 越峰,9/20/2019,182,"49,251"
8131 福懋科,9/20/2019,442,"291,371"
8147 正淩,9/20/2019,30,"5,578"
8150 南茂,9/20/2019,739,"161,423"
8155 博智,9/20/2019,49,"14,358"
8163 達方,9/20/2019,280,"64,108"
8171 天宇,9/20/2019,50,"7,208"
8176 智捷,9/20/2019,72,"7,396"
8182 加高,9/20/2019,107,"58,519"
8183 精星,9/20/2019,121,"40,783"
8201 無敵,9/20/2019,62,"25,509"
8210 勤誠,9/20/2019,119,"16,086"
8213 志超,9/20/2019,271,"15,458"
8215 明基材,9/20/2019,320,"130,340"
8222 寶一,9/20/2019,68,"11,243"
8234 新漢,9/20/2019,141,"6,264"
8240 華宏,9/20/2019,100,"29,420"
8249 菱光,9/20/2019,127,"32,881"
8255 朋程,9/20/2019,90,"16,385"
8261 富鼎,9/20/2019,81,"9,278"
8271 宇瞻,9/20/2019,100,"18,749"
8277 商丞,9/20/2019,91,"11,616"
8279 生展,9/20/2019,27,"10,920"
8287 英格爾,9/20/2019,145,"2,103"
8289 泰藝,9/20/2019,75,"11,053"
8291 尚茂,9/20/2019,76,"44,922"
8299 群聯,9/20/2019,197,"34,945"
8341 日友,9/20/2019,111,"43,199"
8342 益張,9/20/2019,33,"8,917"
8349 恒耀,9/20/2019,116,"22,768"
8354 冠好,9/20/2019,78,"10,968"
8358 金居,9/20/2019,252,"26,903"
8367 建新國際,9/20/2019,81,"35,770"
8374 羅昇,9/20/2019,89,"18,744"
8383 千附,9/20/2019,118,"15,059"
8390 金益鼎,9/20/2019,96,"18,016"
8401 白紗科,9/20/2019,62,"7,978"
8403 盛弘,9/20/2019,102,"30,297"
8404 百和興業-KY,9/20/2019,315,"162,762"
8406 金可-KY,9/20/2019,92,"45,731"
8409 商之器,9/20/2019,28,"4,292"
8410 森田,9/20/2019,36,"8,327"
8411 福貞-KY,9/20/2019,175,"7,605"
8415 大國鋼,9/20/2019,"1,031","455,265"
8416 實威,9/20/2019,28,"5,748"
8418 捷必勝-KY,9/20/2019,75,"52,034"
8420 明揚,9/20/2019,50,"33,216"
8421 旭源,9/20/2019,54,"15,740"
8422 可寧衛,9/20/2019,108,"24,638"
8423 保綠-KY,9/20/2019,22,782
8424 惠普,9/20/2019,36,"19,055"
8426 紅木-KY,9/20/2019,50,"32,189"
8427 基勝-KY,9/20/2019,104,"47,239"
8429 金麗-KY,9/20/2019,185,"45,393"
8431 匯鑽科,9/20/2019,44,"14,086"
8432 東生華,9/20/2019,38,"21,688"
8433 弘帆,9/20/2019,52,"18,161"
8435 鉅邁,9/20/2019,31,"4,868"
8436 大江,9/20/2019,118,"17,840"
8437 大地-KY,9/20/2019,47,"11,189"
8440 綠電,9/20/2019,38,"16,244"
8442 威宏-KY,9/20/2019,49,"18,608"
8443 阿瘦,9/20/2019,66,"8,644"
8444 綠河-KY,9/20/2019,73,"35,413"
8446 華研,9/20/2019,52,"22,004"
8450 霹靂,9/20/2019,51,"6,705"
8454 富邦媒,9/20/2019,140,"92,111"
8455 大拓-KY,9/20/2019,25,"19,925"
8462 柏文,9/20/2019,69,"26,859"
8463 潤泰材,9/20/2019,150,"70,081"
8464 億豐,9/20/2019,293,"82,542"
8466 美吉吉-KY,9/20/2019,66,"30,146"
8467 波力-KY,9/20/2019,49,"5,173"
8472 夠麻吉,9/20/2019,18,"5,243"
8473 山林水,9/20/2019,134,"90,030"
8476 台境,9/20/2019,60,"7,380"
8477 創業家,9/20/2019,24,"4,413"
8478 東哥遊艇,9/20/2019,90,"17,807"
8480 泰昇-KY,9/20/2019,39,"25,477"
8481 政伸,9/20/2019,66,"24,028"
8482 商億-KY,9/20/2019,111,0
8488 吉源-KY,9/20/2019,67,"5,566"
8489 三貝德,9/20/2019,37,"5,666"
8497 格威傳媒,9/20/2019,36,"8,601"
8499 鼎炫-KY,9/20/2019,51,"25,177"
8905 裕國,9/20/2019,119,"29,090"
8906 花王,9/20/2019,34,"4,550"
8908 欣雄,9/20/2019,180,"121,603"
8913 全銓,9/20/2019,69,"35,924"
8916 光隆,9/20/2019,122,"27,734"
8917 欣泰,9/20/2019,122,"36,286"
8921 沈氏,9/20/2019,46,"19,951"
8923 時報,9/20/2019,30,"17,347"
8924 大田,9/20/2019,83,"18,034"
8926 台汽電,9/20/2019,589,"185,360"
8927 北基,9/20/2019,191,"65,301"
8928 鉅明,9/20/2019,50,"11,482"
8929 富堡,9/20/2019,50,"15,209"
8930 青鋼,9/20/2019,79,"6,700"
8931 大汽電,9/20/2019,122,"86,220"
8932 宏大,9/20/2019,48,"11,139"
8933 愛地雅,9/20/2019,220,"62,555"
8934 衡平,9/20/2019,8,"4,010"
8935 邦泰,9/20/2019,84,"12,388"
8936 國統,9/20/2019,245,"29,552"
8937 合騏,9/20/2019,72,"7,556"
8938 明安,9/20/2019,135,"18,121"
8940 新天地,9/20/2019,67,"13,784"
8941 關中,9/20/2019,25,"9,094"
8942 森鉅,9/20/2019,165,"20,084"
8996 高力,9/20/2019,89,"5,406"
9103 美德醫療-DR,9/20/2019,205,"19,508"
910322 康師傅-DR,9/20/2019,20,0
910482 聖馬丁-DR,9/20/2019,238,0
9105 泰金寶-DR,9/20/2019,839,"33,341"
910861 神州-DR,9/20/2019,25,
9110 越南控-DR,9/20/2019,52,50
911608 明輝-DR,9/20/2019,16,
911616 杜康-DR,9/20/2019,130,
911622 泰聚亨-DR,9/20/2019,30,
911868 同方友友-DR,9/20/2019,73,"11,798"
912000 晨訊科-DR,9/20/2019,33,
912398 友佳-DR,9/20/2019,42,
9136 巨騰-DR,9/20/2019,152,"27,204"
9157 陽光能源-DR,9/20/2019,117,"503,314"
9188 精熙-DR,9/20/2019,57,0
9802 鈺齊-KY,9/20/2019,170,"5,061"
9902 台火,9/20/2019,98,"20,471"
9904 寶成,9/20/2019,"2,946","254,094"
9905 大華,9/20/2019,305,"46,744"
9906 欣巴巴,9/20/2019,83,"41,726"
9907 統一實,9/20/2019,"1,579","758,837"
9908 大台北,9/20/2019,516,"94,290"
9910 豐泰,9/20/2019,734,"122,929"
9911 櫻花,9/20/2019,221,"19,568"
9912 偉聯,9/20/2019,54,"4,557"
9914 美利達,9/20/2019,298,"75,823"
9917 中保,9/20/2019,451,"159,948"
9918 欣天然,9/20/2019,180,"74,269"
9919 康那香,9/20/2019,195,"57,938"
9921 巨大,9/20/2019,375,"55,529"
9924 福興,9/20/2019,188,"20,809"
9925 新保,9/20/2019,383,"61,431"
9926 新海,9/20/2019,179,"38,371"
9927 泰銘,9/20/2019,209,"60,843"
9928 中視,9/20/2019,150,"77,372"
9929 秋雨,9/20/2019,168,"25,010"
9930 中聯資源,9/20/2019,248,"170,593"
9931 欣高,9/20/2019,102,"27,934"
9933 中鼎,9/20/2019,763,"61,774"
9934 成霖,9/20/2019,357,"23,368"
9935 慶豐富,9/20/2019,169,"21,232"
9937 全國,9/20/2019,309,"29,569"
9938 百和,9/20/2019,297,"32,102"
9939 宏全,9/20/2019,292,"19,874"
9940 信義,9/20/2019,736,"219,617"
9941 裕融,9/20/2019,302,"138,233"
9942 茂順,9/20/2019,83,"15,645"
9943 好樂迪,9/20/2019,147,"56,363"
9944 新麗,9/20/2019,109,"28,703"
9945 潤泰新,9/20/2019,"1,003","279,263"
9946 三發地產,9/20/2019,300,"42,879"
9949 琉園,9/20/2019,47,"8,804"
9950 萬國通,9/20/2019,147,"87,280"
9951 皇田,9/20/2019,74,"22,242"
9955 佳龍,9/20/2019,103,"38,440"
9958 世紀鋼,9/20/2019,209,"47,949"
9960 邁達康,9/20/2019,33,"7,021"
9962 有益,9/20/2019,90,"14,150"
